price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,Affordability,timestamp
5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,moderate,76
5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,moderate,77
4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,moderate,78
4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,moderate,79
4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,moderate,80
4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,moderate,81
4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished,moderate,82
4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,moderate,83
4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,moderate,84
4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,moderate,85
4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,moderate,86
4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,moderate,87
4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,moderate,88
4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,moderate,89
4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,moderate,90
4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished,moderate,91
4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,92
4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,moderate,93
4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished,moderate,94
4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,moderate,95
4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,moderate,96
4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished,moderate,97
4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,moderate,98
4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,moderate,99
4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished,moderate,100
4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,moderate,101
4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,moderate,102
4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,moderate,103
4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished,moderate,104
4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished,moderate,105
4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished,moderate,106
4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,moderate,107
4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,moderate,108
4690000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished,moderate,109
4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished,moderate,110
4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished,moderate,111
4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,moderate,112
4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,moderate,113
4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,moderate,114
4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished,moderate,115
4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,moderate,116
4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,moderate,117
4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished,moderate,118
4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,moderate,119
4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,moderate,120
4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished,moderate,121
4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished,moderate,122
4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished,moderate,123
4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished,moderate,124
4550000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished,moderate,125
4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished,moderate,126
4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,moderate,127
4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished,moderate,128
4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,moderate,129
4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished,moderate,130
4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished,moderate,131
4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished,moderate,132
4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,moderate,133
4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,moderate,134
4515000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,135
4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished,moderate,136
4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,moderate,137
4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,moderate,138
4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished,moderate,139
4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished,moderate,140
4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,moderate,141
4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished,moderate,142
4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished,moderate,143
4473000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished,moderate,144
4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,moderate,145
4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,moderate,146
4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,moderate,147
4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,moderate,148
4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,moderate,149
4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished,moderate,150
4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,moderate,151
4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished,moderate,152
4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished,moderate,153
4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished,moderate,154
4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,moderate,155
4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished,moderate,156
4340000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,moderate,157
4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished,moderate,158
4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished,moderate,159
4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished,moderate,160
4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished,moderate,161
4270000,6360,2,1,1,yes,no,no,no,no,0,no,furnished,moderate,162
4270000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished,moderate,163
4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished,moderate,164
4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished,moderate,165
4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished,moderate,166
4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished,moderate,167
4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished,moderate,168
4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished,moderate,169
4200000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,moderate,170
4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,moderate,171
4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,moderate,172
4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished,moderate,173
4200000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,moderate,174
4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished,moderate,175
4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished,moderate,176
4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished,moderate,177
4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished,moderate,178
4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,moderate,179
4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished,moderate,180
4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,moderate,181
4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished,moderate,182
4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished,moderate,183
4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,moderate,184
4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished,moderate,185
4200000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished,moderate,186
4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,moderate,187
4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,moderate,188
4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished,moderate,189
4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished,moderate,190
4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,moderate,191
4130000,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,moderate,192
4130000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished,moderate,193
4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,moderate,194
4098500,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished,moderate,195
4095000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished,moderate,196
4095000,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished,moderate,197
4095000,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished,moderate,198
4060000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished,moderate,199
4060000,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished,moderate,200
4060000,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,201
4060000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished,moderate,202
4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished,moderate,203
4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished,moderate,204
4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished,moderate,205
4025000,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished,moderate,206
4007500,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished,moderate,207
4007500,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,moderate,208
3990000,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished,moderate,209
3990000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished,moderate,210
3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished,moderate,211
3990000,3960,3,1,2,yes,no,no,no,no,0,no,furnished,moderate,212
3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished,moderate,213
3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished,moderate,214
3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished,moderate,215
3920000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished,moderate,216
3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished,moderate,217
3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished,moderate,218
3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,moderate,219
3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished,moderate,220
3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,moderate,221
3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished,moderate,222
3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished,moderate,223
3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished,moderate,224
3850000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished,moderate,225
3850000,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,226
3850000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,227
3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished,moderate,228
3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished,moderate,229
3836000,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,moderate,230
3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished,moderate,231
3780000,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished,moderate,232
3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,moderate,233
3780000,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,234
3780000,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished,moderate,235
3780000,2856,3,1,3,yes,no,no,no,no,0,yes,furnished,moderate,236
3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished,moderate,237
3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished,moderate,238
3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished,moderate,239
3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished,moderate,240
3745000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,moderate,241
3710000,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished,moderate,242
3710000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,243
3710000,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,244
3710000,4050,2,1,1,yes,no,no,no,no,0,no,furnished,moderate,245
3710000,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished,moderate,246
3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished,moderate,247
3703000,5450,2,1,1,yes,no,no,no,no,0,no,furnished,moderate,248
3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished,moderate,249
3675000,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished,moderate,250
3675000,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished,moderate,251
3675000,3600,2,1,1,yes,no,no,no,no,0,no,furnished,moderate,252
3640000,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished,moderate,253
3640000,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,moderate,254
3640000,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished,moderate,255
3640000,3000,2,1,2,yes,no,no,no,yes,0,no,furnished,moderate,256
3640000,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished,moderate,257
3640000,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished,moderate,258
3640000,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished,moderate,259
3640000,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished,moderate,260
3640000,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished,moderate,261
3633000,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished,moderate,262
3605000,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,263
3605000,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,moderate,264
3570000,3150,3,1,2,yes,no,yes,no,no,0,no,furnished,moderate,265
3570000,4500,4,2,2,yes,no,yes,no,no,2,no,furnished,moderate,266
3570000,4500,2,1,1,no,no,no,no,no,0,no,furnished,moderate,267
3570000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,268
3535000,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished,moderate,269
3500000,4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,moderate,270
3500000,3650,3,1,2,yes,no,no,no,no,0,no,unfurnished,moderate,271
3500000,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished,moderate,272
3500000,2135,3,2,2,no,no,no,no,no,0,no,unfurnished,moderate,273
3500000,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,moderate,274
3500000,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished,moderate,275
3500000,7424,3,1,1,no,no,no,no,no,0,no,unfurnished,moderate,276
3500000,3480,3,1,1,no,no,no,no,yes,0,no,unfurnished,moderate,277
3500000,3600,6,1,2,yes,no,no,no,no,1,no,unfurnished,moderate,278
3500000,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished,moderate,279
3500000,5900,2,1,1,yes,no,no,no,no,1,no,furnished,moderate,280
3500000,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished,moderate,281
3500000,7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished,moderate,282
3500000,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished,moderate,283
3500000,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished,moderate,284
3500000,5880,2,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,285
3500000,12944,3,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,286
3493000,4900,3,1,2,no,no,no,no,no,0,no,unfurnished,moderate,287
3465000,3060,3,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,288
3465000,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished,moderate,289
3465000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished,moderate,290
3430000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,291
3430000,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished,moderate,292
3430000,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,293
3430000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished,moderate,294
3430000,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished,moderate,295
3430000,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished,moderate,296
3423000,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,297
3395000,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished,moderate,298
3395000,3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished,moderate,299
3395000,3640,2,1,1,yes,no,no,no,no,0,no,furnished,moderate,300
3360000,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished,moderate,301
3360000,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished,moderate,302
3360000,4120,2,1,2,yes,no,no,no,no,0,no,unfurnished,moderate,303
3360000,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,304
3360000,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished,moderate,305
3360000,3750,3,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,306
3360000,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished,moderate,307
3360000,3185,2,1,1,yes,no,yes,no,no,2,no,furnished,moderate,308
3353000,2700,3,1,1,no,no,no,no,no,0,no,furnished,moderate,309
3332000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,moderate,310
3325000,4040,2,1,1,yes,no,no,no,no,1,no,unfurnished,moderate,311
3325000,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished,moderate,312
3290000,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished,moderate,313
3290000,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished,moderate,314
3290000,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished,moderate,315
3290000,3480,4,1,2,no,no,no,no,no,1,no,semi-furnished,moderate,316
3290000,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished,moderate,317
3290000,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,moderate,318
3290000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,moderate,319
3290000,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished,moderate,320
3255000,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished,moderate,321
3255000,3930,2,1,1,no,no,no,no,no,0,no,unfurnished,moderate,322
3234000,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished,moderate,323
3220000,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished,moderate,324
3220000,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished,moderate,325
3220000,4320,3,1,1,no,no,no,no,no,1,no,unfurnished,moderate,326
3220000,3120,3,1,2,no,no,no,no,no,0,no,furnished,moderate,327
3150000,3450,1,1,1,yes,no,no,no,no,0,no,furnished,moderate,328
3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished,moderate,329
3150000,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished,moderate,330
3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished,moderate,331
3150000,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,moderate,332
3150000,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,moderate,333
3150000,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished,moderate,334
3150000,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished,moderate,335
3150000,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished,moderate,336
3143000,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,moderate,337
3129000,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished,moderate,338
